№ п/п&UUID&Описание&Ответ&Качество&Пользователь
1&eeb3c713b2424981bfe7802cc84663e5&	Пиздец АК Якутия лажают &[['удивление']]&56.9&admin
10721&45203750e167461d96c2aef54511fa91&	Без думи ....  &[['спокойствие']]&57.71&StepanovaAV
10722&c2f2bf557f8b40a48a4b435a7af838e8&	ОДИНЦОВО СИТИ  ОСТАЛЬНЫЕ ВСЕ СОСИТИ !&['Ни одного']&57.71&StepanovaAV
10723&41d0a5fbfc0e4703a761a0558ab21700&	Самоудовлетворение !&['Ни одного']&57.71&StepanovaAV
10724&545ad16c55c0435294dcc23594a87e7a&	Коротко о моем состоянии : &[['спокойствие']]&57.71&StepanovaAV
10725&608287294da645888695ef17ebd2dbc0&	Вай , красавецно я в шоке , что такой взрослый сын Выглядите намного младше .&[['удивление']]&57.71&StepanovaAV
10726&cb7d1a65b48c43a9a04d0c9ed6513836&	Были разовые приходы , а тут  пока не почувствую себя в безопасности , не смогу успокоится .&[['страх']]&57.71&StepanovaAV
10727&0edd2885b42346cd92d0ca5676a74200&	И чтобы успеть на битву  галактики , Вам предстоит использовать гиперпространственный  тоннель , расположенный в самом  &['Ни одного']&57.71&StepanovaAV
10728&f867c84ada5546d6a7baaae66795606d&	И сверху контрольный подзатыльник ! ! !  Ну а что Я могу ! &[['удивление']]&57.71&StepanovaAV
10729&147ee0e864d54491be14b309393857f0&	Лучше бы я пиздилась с комиссией на защите диплома , чем рассказывать его  ведь раньше , когда - то там , я думала защита&[['гнев']]&57.71&StepanovaAV
10730&411c5704131946df9487ea1cc1bdb1d3&	Этот день я не забуду никогда и сказать за это спасибо надо Ани&[['счастье']]&57.71&StepanovaAV
10731&7bc047cd5dd44b6585c6877f75c7f664&"	⠀ Посмотрите , как точно и четко каждая часть костюма "" вырезается "" с помощью специального лазера ⠀ Именно поэтому наши роботы совершенны , ."&[['счастье']]&57.71&StepanovaAV
10732&a51714140a524e5b89043ae174ad59eb&	neurotoxin  Ретвитнул ( а ) neurotoxin &['Ни одного']&57.71&StepanovaAV
10733&007e0fbf6cff4484871e03e42103c74f&	| 마리아 김 | &['Ни одного']&57.71&StepanovaAV
10734&3c5a6f0fc5794791b2a6ec78959f1357&	Какая прелесть хоть бы так было подольше pictwittercompbLATkGL&[['удивление']]&57.71&StepanovaAV
10735&c7d3861aef0c41629be08256ce7865a7&	На игромир ! &[['счастье']]&57.71&StepanovaAV
10736&565069ae4b3d4c5e91a0d2d52f88fbe8&	Целый час сохранять фото   у меня такое в первые ) ) ) ) ) ) из так много и они все такие крутые&[['счастье']]&57.71&StepanovaAV
10737&e58f669ddacc44d58670475fdc21decc&	Read her for filth !&['Ни одного']&57.71&StepanovaAV
10738&0ffb12d25fb34a06aed3db217867add1&	ну я не понимаю ну как так можно постоянно опаздывать &[['удивление']]&57.71&StepanovaAV
10739&b41fed56b38940e192d54d251c1eacff&	Поляки хоть посмотрят какие заведения можно делать , сама как увидела яхт клуб в Москве &[['удивление']]&57.71&StepanovaAV
10740&0444de0d7215492a83eb0cc39c624601&	что за всплеск внимания .&[['удивление']]&57.71&StepanovaAV
10741&c2f910b23a004129b86e2edd3903b5ea&	теперь хрен знает сколько надо будет лекарства пить&[['удивление']]&57.71&StepanovaAV
10742&f4b3a055eb1846f18bc846d4eb31e92a&"	"" Театр уж полон , ложи блещут . . . ""    ) ) )"&[['счастье']]&57.71&StepanovaAV
10743&61689833b2a043d883641885c994907d&	Мне , как филологу , слух режет # танціззірками&[['отвращение']]&57.71&StepanovaAV
10744&007f8640bdbc4eec85c9236dad634291&	Жалко , что бельгиец а не русский  # звездаЧМждите&[['грусть']]&57.71&StepanovaAV
10745&64f8daf346814c4fa4eddbc1041534da&	Такое чувство интересное , когда ты брата не видела  лет и он приехал неожиданно в гости &[['счастье', 'удивление']]&57.71&StepanovaAV
10746&85a0ed9644c74ed0aadbf2f3cd0fa671&	что за чудо  pictwittercomGWFJHaxSl&[['удивление']]&57.71&StepanovaAV
10747&df73ec65e0ff4b89a41252eee36847b4&	Я прям в осадок выпала , когда прочитала это и поняла , как много схожего с украинским языком &[['удивление']]&57.71&StepanovaAV
10748&a9db06e2bf00496cb292cda4ed711762&	плачу  pictwittercomVPkWULxiS&[['грусть']]&57.71&StepanovaAV
10749&6fe5cf69a8bc48b2bd1f797ea0cab206&	Слишком « ааааааа » &[['удивление']]&57.71&StepanovaAV
10750&efaa5a638ab14966b876ce5a28569b80&	Блюдо из бычьих яиц . . .  И ктото ел это . . .&[['удивление']]&57.71&StepanovaAV
10751&689741eb6cb748ee974a06da6eb82c0a&	Все равно спасибо огромное&[['счастье']]&57.71&StepanovaAV
10752&c726a0f5e9a54bed9b8c80dfb44b6a52&	эх , бессонная ночь обеспечена  pictwittercomBSKRBbwV&[['грусть']]&57.71&StepanovaAV
10753&704407b107e2484fabb550088d1b03c5&	завтра иду на снимок блин блинский &[['страх']]&57.71&StepanovaAV
10754&d584dc6bf0f84d9781f7ca59c3b1491b&	О вас что ли ? &[['удивление']]&57.71&StepanovaAV
10755&b0c9034b53bd453d9f9b86ca28848c22&	арсения ! ! !&[['счастье']]&57.71&StepanovaAV
10756&2f38cf5c642545999efd78f75d923ab7&	На улице жара , как будто сейчас августа не середина сентября&[['удивление']]&57.71&StepanovaAV
10757&737bef632cbd4005a30c0ff3a7cc7a33&	Хаха бхдаа яадын чи &['Ни одного']&57.71&StepanovaAV
10758&7d14e937d5a94cb7b2ae24cbb908c831&	Не сиди на своей задце , утопая в страхе  , оправданиях  , слабости  и самоуспокоении  , выходи за рамки и совершенствуйся&['Ни одного']&57.71&StepanovaAV
10759&3b7ff74e66224ef09973e99303cacd41&	Это было забавно , потому что я ка краз гуглила где встретить знаменитость в Лондоне , поднимаю глаза и он прямо передо мной &[['удивление']]&57.71&StepanovaAV
10760&87688ab07fee4fd8952ba4bfdb19a70d&	Лав   грустые песни под дождь &[['грусть']]&57.71&StepanovaAV
10761&b966bef62d3a4362b3e8e8a063189b44&	всегда &['Ни одного']&57.71&StepanovaAV
10762&cfccacc1b47748c6a2a2eab2de7a1165&	сегодня то у меня выходной но от этого дел не меньше спасибо&[['грусть']]&57.71&StepanovaAV
10763&60a1230250014782a5a7ae859297d49b&	lamyaaedd  &['Ни одного']&57.71&StepanovaAV
10764&d6c9e2b79aa84af19867fe87cf648604&	Столько отзывов про мой попец нимагуу  а еще как вспомнюю .&[['счастье']]&57.71&StepanovaAV
10765&149c85e46d50497893cda6bec9e8def5&	Это пиздец ребят&[['удивление']]&57.71&StepanovaAV
10766&3dd0be533b7b43538ccff6d2f8ea1dcc&	алышү чамайг &['Ни одного']&57.71&StepanovaAV
10767&cce58ed36ece4b61a517ef16f1f352bd&	Спасибо &[['спокойствие']]&57.71&StepanovaAV
10768&590bb764c5974c31be17c49b0657b682&	facepalm KatherineKesh рада свежему мясу ? # кищук # топ # pictwittercom / efVKtUDki&['Ни одного']&57.71&StepanovaAV
10769&76bf574f79454664aed518109781b260&	Может , подпиздчиков ?&['Ни одного']&57.71&StepanovaAV
10770&42cd84d6884041c08c4731583e647235&	Будь осторожен с желаниями&['Ни одного']&57.71&StepanovaAV
10771&cca4e2e1fdfa4983a9364dc19810d3f1&	Я вот не слушаю # Бузову , но откуда я знаю ее песни&[['удивление']]&57.71&StepanovaAV
10772&02dff39046c5479eaf419356603733c2&	Ну пиццу кушаю , сырки сладкие &[['спокойствие']]&57.71&StepanovaAV
10773&cb6f2bbfbdaa48019f64a130f7d6939f&	Еще чутьчуть и болеющее я пойдет домой &[['грусть']]&57.71&StepanovaAV
10774&98cb1b6b8ee34c02a67f379220adac0b&	вот , пришел тот возраст , когда подружки начинают выходить замуж и беременеть и радостно и страшно ( старость близко ) одновременно&[['страх', 'удивление']]&57.71&StepanovaAV
10775&a28d707f99e244819acd8f0acbeeab4a&	Ну зачем нетфликс выкладывает весь сезон сразу  я же не могу остановиться , а у меня проект в пн&[['грусть', 'удивление']]&57.71&StepanovaAV
10776&5c05b8945ad74afcb417a44e534da273&	Господи , куда записать - то ! ?&[['удивление']]&57.71&StepanovaAV
10777&b91bf1c8ac8b42f0add15c6c1f0dc6f5&	бл самый худший день в мое жизни pictwittercomKQIPpgOQ&[['грусть']]&57.71&StepanovaAV
10778&11b9440a41314bed9705fa8b6c96427f&	Бля , я обычно столько в городе не бываю &[['удивление']]&57.71&StepanovaAV
10779&db33bcc745054593a0d87a19df988187&	Ну вы поняли короче &[['спокойствие']]&57.71&StepanovaAV
10780&d87cafc8ee72432886184e833ace74ba&	Уровень усталости и недосыпа : не могу открыть глаза полностью и хожу как собака - подозревака &[['грусть']]&57.71&StepanovaAV
10781&fd26afe77d7d4edb92ec6901576d3bdc&	У меня сейчас все сознание перевернулось очень символично получилось , конечно&[['удивление']]&57.71&StepanovaAV
10782&36c16e8b5b284ac2846160c7ddc396f9&	CatFolleex  Ретвитнул ( а ) КАРТОЧКА СУХО &['Ни одного']&57.71&StepanovaAV
10783&ae45e2bf6a5d4077a92c7bf358bdd96c&	Рассвет , небо ху пойми какого цвета , унылый узбек метет газеты . . .&[['грусть']]&57.71&StepanovaAV
10784&fdf573fd4c5f4555a25b7fc0fbf258e3&	Тварь она мерзкая &[['гнев', 'отвращение']]&57.71&StepanovaAV
10785&4ab539451fde4d95a306f2fb83b78346&	И , главное , порусски , и матом , матом . . . &['Ни одного']&57.71&StepanovaAV
10786&7f7ebb4f16564b34bced947263e2c134&	Пламень и искра а внутри костер а утром обгоревшее настроение и здоровье  , было один раз &[['грусть']]&57.71&StepanovaAV
